14.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,1.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,2.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,3.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,4.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,5.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,6.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,7.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,8.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,9.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,10.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,11.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,12.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,13.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,14.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,15.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,16.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,17.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,18.0,0.0,1.0,5.0
14.0,7.0,0.0,0.0,19.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,0.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,1.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,2.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,3.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,4.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,5.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,6.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,7.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,8.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,9.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,10.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,11.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,12.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,13.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,14.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,15.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,16.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,17.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,18.0,0.0,1.0,5.0
14.0,7.0,1.0,0.0,19.0,0.0,1.0,5.0
14.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0
14.0,8.0,0.0,0.0,1.0,0.0,1.0,5.0
14.0,8.0,0.0,0.0,2.0,0.0,1.0,5.0
14.0,8.0,0.0,0.0,3.0,0.0,1.0,5.0
14.0,8.0,0.0,0.0,4.0,0.0,1.0,5.0
14.0,8.0,0.0,0.0,5.0,0.0,1.0,5.0
14.0,8.0,0.0,0.0,6.0,0.0,1.0,5.0
14.0,8.0,0.0,0.0,7.0,0.0,1.0,5.0
14.0,8.0,0.0,0.0,8.0,0.0,1.0,5.0
14.0,8.0,0.0,0.0,9.0,0.0,1.0,5.0
14.0,8.0,0.0,0.0,10.0,0.0,1.0,5.0
14.0,8.0,0.0,0.0,11.0,0.0,1.0,5.0
14.0,8.0,0.0,0.0,12.0,0.0,1.3,5.0
14.0,8.0,1.0,0.0,0.0,0.0,1.0,5.0
14.0,8.0,1.0,0.0,1.0,0.0,1.3,5.0
14.0,8.0,1.0,0.0,2.3,0.0,1.0,5.0
14.0,8.0,1.0,0.0,3.3,0.0,1.0,5.0
14.0,8.0,1.0,0.0,4.3,0.0,1.0,5.0
14.0,8.0,1.0,0.0,5.3,0.0,1.0,5.0
14.0,8.0,1.0,0.0,6.3,0.0,1.0,5.0
14.0,8.0,1.0,0.0,7.3,0.0,1.0,5.0
14.0,8.0,1.0,0.0,8.3,0.0,1.0,5.0
14.0,8.0,1.0,0.0,9.3,0.0,1.0,5.0
14.0,8.0,1.0,0.0,10.3,0.0,1.0,5.0
14.0,8.0,1.0,0.0,11.3,0.0,1.0,5.0
14.0,8.0,1.0,0.0,12.3,0.0,1.0,5.0
14.0,9.0,0.0,0.0,0.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,1.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,2.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,3.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,4.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,5.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,6.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,7.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,8.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,9.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,10.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,11.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,12.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,13.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,14.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,15.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,16.0,0.0,1.0,5.0
14.0,9.0,0.0,0.0,17.0,0.0,1.3,5.0
14.0,9.0,1.0,0.0,0.0,0.0,1.0,5.0
14.0,9.0,1.0,0.0,1.0,0.0,1.0,5.0
14.0,9.0,1.0,0.0,2.0,0.0,1.3,5.0
14.0,9.0,1.0,0.0,3.3,0.0,1.0,5.0
14.0,9.0,1.0,0.0,4.3,0.0,1.0,5.0
14.0,9.0,1.0,0.0,5.3,0.0,1.0,5.0
14.0,9.0,1.0,0.0,6.3,0.0,1.0,5.0
14.0,9.0,1.0,0.0,7.3,0.0,1.0,5.0
14.0,9.0,1.0,0.0,8.3,0.0,1.0,5.0
14.0,9.0,1.0,0.0,9.3,0.0,1.0,5.0
14.0,9.0,1.0,0.0,10.3,0.0,1.0,5.0
14.0,9.0,1.0,0.0,11.3,0.0,1.0,5.0
14.0,9.0,1.0,0.0,12.3,0.0,1.0,5.0
14.0,9.0,1.0,0.0,13.3,0.0,1.0,5.0
14.0,9.0,1.0,0.0,14.3,0.0,1.0,5.0
14.0,9.0,1.0,0.0,15.3,0.0,1.0,5.0
14.0,9.0,1.0,0.0,16.3,0.0,1.0,5.0
14.0,9.0,1.0,0.0,17.3,0.0,1.0,5.0
15.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
15.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0
15.0,0.0,0.0,0.0,2.0,0.0,1.3,5.0
15.0,0.0,0.0,0.0,3.3,0.0,1.0,5.0
15.0,0.0,0.0,0.0,4.3,0.0,1.0,5.0
15.0,0.0,0.0,0.0,5.3,0.0,1.0,5.0
15.0,0.0,0.0,0.0,6.3,0.0,1.3,5.0
15.0,0.0,0.0,0.0,7.6,0.0,1.3,5.0
15.0,0.0,0.0,0.0,8.9,0.0,1.0,5.0
15.0,0.0,0.0,0.0,9.9,0.0,1.0,5.0
15.0,0.0,0.0,0.0,10.9,0.0,1.3,5.0
15.0,0.0,0.0,0.0,12.200000000000001,0.0,1.0,5.0
15.0,0.0,0.0,0.0,13.200000000000001,0.0,1.0,5.0
15.0,0.0,0.0,0.0,14.200000000000001,0.0,1.0,5.0
15.0,0.0,0.0,0.0,15.200000000000001,0.0,1.3,5.0
15.0,0.0,0.0,0.0,16.5,0.0,1.0,5.0
15.0,0.0,0.0,1.0,18.0,0.0,1.3,5.0
15.0,0.0,0.0,1.0,19.3,0.0,1.3,5.0
15.0,0.0,0.0,1.0,20.6,0.0,1.3,5.0
15.0,0.0,0.0,1.0,21.900000000000002,0.0,1.0,5.0
15.0,0.0,0.0,1.0,22.900000000000002,0.0,1.0,5.0
15.0,0.0,0.0,1.0,23.900000000000002,0.0,1.3,5.0
15.0,0.0,0.0,1.0,25.200000000000003,0.0,1.3,5.0
15.0,0.0,0.0,1.0,26.500000000000004,0.0,1.0,5.0
15.0,0.0,0.0,1.0,27.500000000000004,0.0,1.0,5.0
15.0,0.0,0.0,1.0,28.500000000000004,0.0,1.3,5.0
15.0,0.0,0.0,1.0,29.800000000000004,0.0,1.0,5.0
15.0,0.0,0.0,1.0,30.800000000000004,0.0,1.3,5.0
15.0,0.0,0.0,1.0,32.1,0.0,1.3,5.0
15.0,0.0,0.0,1.0,33.4,0.0,1.0,5.0
15.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0
15.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0
15.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0
15.0,0.0,1.0,0.0,3.0,0.0,1.0,5.0
15.0,0.0,1.0,0.0,4.0,0.0,1.0,5.0
15.0,0.0,1.0,0.0,5.0,0.0,1.3,5.0
15.0,0.0,1.0,0.0,6.3,0.0,1.0,5.0
15.0,0.0,1.0,0.0,7.3,0.0,1.3,5.0
15.0,0.0,1.0,0.0,8.6,0.0,1.3,5.0
15.0,0.0,1.0,0.0,9.9,0.0,1.0,5.0
15.0,0.0,1.0,0.0,10.9,0.0,1.0,5.0
15.0,0.0,1.0,0.0,11.9,0.0,1.0,5.0
15.0,0.0,1.0,0.0,12.9,0.0,1.0,5.0
15.0,0.0,1.0,0.0,13.9,0.0,1.0,5.0
15.0,0.0,1.0,0.0,14.9,0.0,1.0,5.0
15.0,0.0,1.0,0.0,15.9,0.0,1.0,5.0
15.0,0.0,1.0,0.0,16.9,0.0,1.0,5.0
15.0,0.0,1.0,1.0,18.0,0.0,1.0,5.0
15.0,0.0,1.0,1.0,19.0,0.0,1.3,5.0
15.0,0.0,1.0,1.0,20.3,0.0,1.0,5.0
15.0,0.0,1.0,1.0,21.3,0.0,1.0,5.0
15.0,0.0,1.0,1.0,22.3,0.0,1.0,5.0
15.0,0.0,1.0,1.0,23.3,0.0,1.3,5.0
15.0,0.0,1.0,1.0,24.6,0.0,1.3,5.0
15.0,0.0,1.0,1.0,25.900000000000002,0.0,1.0,5.0
15.0,0.0,1.0,1.0,26.900000000000002,0.0,1.0,5.0
15.0,0.0,1.0,1.0,27.900000000000002,0.0,1.3,5.0
15.0,0.0,1.0,1.0,29.200000000000003,0.0,1.3,5.0
15.0,0.0,1.0,1.0,30.500000000000004,0.0,1.0,5.0
15.0,0.0,1.0,1.0,31.500000000000004,0.0,1.0,5.0
15.0,0.0,1.0,1.0,32.5,0.0,1.0,5.0
15.0,0.0,1.0,1.0,33.5,0.0,1.3,5.0
15.0,1.0,0.0,0.0,0.0,0.0,1.3,5.0
15.0,1.0,0.0,0.0,1.3,0.0,1.0,5.0
15.0,1.0,0.0,0.0,2.3,0.0,1.3,5.0
15.0,1.0,0.0,0.0,3.5999999999999996,0.0,1.3,5.0
15.0,1.0,0.0,0.0,4.8999999999999995,0.0,1.3,5.0
15.0,1.0,0.0,0.0,6.199999999999999,0.0,1.3,5.0
15.0,1.0,0.0,0.0,7.499999999999999,0.0,1.0,5.0
15.0,1.0,0.0,0.0,8.5,0.0,1.0,5.0
15.0,1.0,0.0,0.0,9.5,0.0,1.0,5.0
15.0,1.0,0.0,0.0,10.5,0.0,1.3,5.0
15.0,1.0,0.0,0.0,11.8,0.0,1.3,5.0
15.0,1.0,0.0,0.0,13.100000000000001,0.0,1.0,5.0
15.0,1.0,0.0,0.0,14.100000000000001,0.0,1.0,5.0
15.0,1.0,0.0,0.0,15.100000000000001,0.0,1.3,5.0
15.0,1.0,0.0,0.0,16.400000000000002,0.0,1.3,5.0
15.0,1.0,0.0,1.0,18.0,0.0,1.3,5.0
15.0,1.0,0.0,1.0,19.3,0.0,1.3,5.0
15.0,1.0,0.0,1.0,20.6,0.0,1.3,5.0
15.0,1.0,0.0,1.0,21.900000000000002,0.0,1.0,5.0
15.0,1.0,0.0,1.0,22.900000000000002,0.0,1.3,5.0
15.0,1.0,0.0,1.0,24.200000000000003,0.0,1.0,5.0
15.0,1.0,0.0,1.0,25.200000000000003,0.0,1.3,5.0
15.0,1.0,0.0,1.0,26.500000000000004,0.0,1.0,5.0
15.0,1.0,0.0,1.0,27.500000000000004,0.0,1.3,5.0
15.0,1.0,0.0,1.0,28.800000000000004,0.0,1.3,5.0
15.0,1.0,0.0,1.0,30.100000000000005,0.0,1.0,5.0
15.0,1.0,0.0,1.0,31.100000000000005,0.0,1.0,5.0
15.0,1.0,0.0,1.0,32.10000000000001,0.0,1.0,5.0
15.0,1.0,0.0,1.0,33.10000000000001,0.0,1.3,5.0
15.0,1.0,1.0,0.0,0.0,0.0,1.3,5.0
15.0,1.0,1.0,0.0,1.3,0.0,1.3,5.0
15.0,1.0,1.0,0.0,2.6,0.0,1.3,5.0
15.0,1.0,1.0,0.0,3.9000000000000004,0.0,1.3,5.0
15.0,1.0,1.0,0.0,5.2,0.0,1.0,5.0
15.0,1.0,1.0,0.0,6.2,0.0,1.3,5.0
15.0,1.0,1.0,0.0,7.5,0.0,1.3,5.0
15.0,1.0,1.0,0.0,8.8,0.0,1.0,5.0
15.0,1.0,1.0,0.0,9.8,0.0,1.3,5.0
15.0,1.0,1.0,0.0,11.100000000000001,0.0,1.3,5.0
15.0,1.0,1.0,0.0,12.400000000000002,0.0,1.0,5.0
15.0,1.0,1.0,0.0,13.400000000000002,0.0,1.3,5.0
15.0,1.0,1.0,0.0,14.700000000000003,0.0,1.3,5.0
15.0,1.0,1.0,0.0,16.000000000000004,0.0,1.3,5.0
15.0,1.0,1.0,1.0,18.0,0.0,1.3,5.0
15.0,1.0,1.0,1.0,19.3,0.0,1.3,5.0
15.0,1.0,1.0,1.0,20.6,0.0,1.0,5.0
15.0,1.0,1.0,1.0,21.6,0.0,1.3,5.0
15.0,1.0,1.0,1.0,22.900000000000002,0.0,1.3,5.0
15.0,1.0,1.0,1.0,24.200000000000003,0.0,1.3,5.0
15.0,1.0,1.0,1.0,25.500000000000004,0.0,1.0,5.0
15.0,1.0,1.0,1.0,26.500000000000004,0.0,1.3,5.0
15.0,1.0,1.0,1.0,27.800000000000004,0.0,1.3,5.0
15.0,1.0,1.0,1.0,29.100000000000005,0.0,1.0,5.0
15.0,1.0,1.0,1.0,30.100000000000005,0.0,1.0,5.0
15.0,1.0,1.0,1.0,31.100000000000005,0.0,1.3,5.0
15.0,1.0,1.0,1.0,32.400000000000006,0.0,1.3,5.0
15.0,1.0,1.0,1.0,33.7,0.0,1.0,5.0
15.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,2.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,3.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,4.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,5.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,6.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,7.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,8.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,9.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,10.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,11.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,12.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,13.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,14.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,15.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,16.0,0.0,1.0,5.0
15.0,2.0,0.0,0.0,17.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,18.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,19.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,20.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,21.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,22.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,23.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,24.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,25.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,26.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,27.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,28.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,29.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,30.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,31.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,32.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,33.0,0.0,1.0,5.0
15.0,2.0,0.0,1.0,34.0,0.0,1.0,5.0
15.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0
15.0,2.0,1.0,0.0,1.0,0.0,1.0,5.0
15.0,2.0,1.0,0.0,2.0,0.0,1.0,5.0
15.0,2.0,1.0,0.0,3.0,0.0,1.0,5.0
15.0,2.0,1.0,0.0,4.0,0.0,1.0,5.0
15.0,2.0,1.0,0.0,5.0,0.0,1.0,5.0
15.0,2.0,1.0,0.0,6.0,0.0,1.0,5.0
15.0,2.0,1.0,0.0,7.0,0.0,1.0,5.0
15.0,2.0,1.0,0.0,8.0,0.0,1.0,5.0
15.0,2.0,1.0,0.0,9.0,0.0,1.3,5.0
15.0,2.0,1.0,0.0,10.3,0.0,1.0,5.0
15.0,2.0,1.0,0.0,11.3,0.0,1.3,5.0
15.0,2.0,1.0,0.0,12.600000000000001,0.0,1.0,5.0
15.0,2.0,1.0,0.0,13.600000000000001,0.0,1.0,5.0
15.0,2.0,1.0,0.0,14.600000000000001,0.0,1.0,5.0
15.0,2.0,1.0,0.0,15.600000000000001,0.0,1.0,5.0
15.0,2.0,1.0,0.0,16.6,0.0,1.0,5.0
15.0,2.0,1.0,1.0,18.0,0.0,1.0,5.0
15.0,2.0,1.0,1.0,19.0,0.0,1.0,5.0
15.0,2.0,1.0,1.0,20.0,0.0,1.0,5.0
15.0,2.0,1.0,1.0,21.0,0.0,1.0,5.0
15.0,2.0,1.0,1.0,22.0,0.0,1.0,5.0
15.0,2.0,1.0,1.0,23.0,0.0,1.0,5.0
15.0,2.0,1.0,1.0,24.0,0.0,1.0,5.0
15.0,2.0,1.0,1.0,25.0,0.0,1.0,5.0
15.0,2.0,1.0,1.0,26.0,0.0,1.0,5.0
15.0,2.0,1.0,1.0,27.0,0.0,1.0,5.0
15.0,2.0,1.0,1.0,28.0,0.0,1.0,5.0
15.0,2.0,1.0,1.0,29.0,0.0,1.0,5.0
15.0,2.0,1.0,1.0,30.0,0.0,1.0,5.0
15.0,2.0,1.0,1.0,31.0,0.0,1.0,5.0
15.0,2.0,1.0,1.0,32.0,0.0,1.0,5.0
15.0,2.0,1.0,1.0,33.0,0.0,1.0,5.0
15.0,2.0,1.0,1.0,34.0,0.0,1.0,5.0
15.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0
15.0,3.0,0.0,0.0,1.0,0.0,1.0,5.0
15.0,3.0,0.0,0.0,2.0,0.0,1.0,5.0
15.0,3.0,0.0,0.0,3.0,0.0,1.0,5.0
15.0,3.0,0.0,0.0,4.0,0.0,1.0,5.0
15.0,3.0,0.0,0.0,5.0,0.0,1.0,5.0
15.0,3.0,0.0,0.0,6.0,0.0,1.0,5.0
15.0,3.0,0.0,0.0,7.0,0.0,1.0,5.0
15.0,3.0,0.0,0.0,8.0,0.0,1.0,5.0
15.0,3.0,0.0,0.0,9.0,0.0,1.0,5.0
15.0,3.0,0.0,0.0,10.0,0.0,1.0,5.0
15.0,3.0,0.0,0.0,11.0,0.0,1.0,5.0
15.0,3.0,0.0,0.0,12.0,0.0,1.0,5.0
15.0,3.0,0.0,0.0,13.0,0.0,1.0,5.0
15.0,3.0,0.0,0.0,14.0,0.0,1.0,5.0
15.0,3.0,0.0,0.0,15.0,0.0,1.3,5.0
15.0,3.0,0.0,0.0,16.3,0.0,1.0,5.0
15.0,3.0,0.0,1.0,18.0,0.0,1.0,5.0
15.0,3.0,0.0,1.0,19.0,0.0,1.0,5.0
15.0,3.0,0.0,1.0,20.0,0.0,1.0,5.0
15.0,3.0,0.0,1.0,21.0,0.0,1.0,5.0
15.0,3.0,0.0,1.0,22.0,0.0,1.0,5.0
15.0,3.0,0.0,1.0,23.0,0.0,1.0,5.0
15.0,3.0,0.0,1.0,24.0,0.0,1.0,5.0
15.0,3.0,0.0,1.0,25.0,0.0,1.0,5.0
15.0,3.0,0.0,1.0,26.0,0.0,1.0,5.0
15.0,3.0,0.0,1.0,27.0,0.0,1.0,5.0
15.0,3.0,0.0,1.0,28.0,0.0,1.0,5.0
15.0,3.0,0.0,1.0,29.0,0.0,1.0,5.0
15.0,3.0,0.0,1.0,30.0,0.0,1.0,5.0
15.0,3.0,0.0,1.0,31.0,0.0,1.3,5.0
15.0,3.0,0.0,1.0,32.3,0.0,1.0,5.0
15.0,3.0,0.0,1.0,33.3,0.0,1.0,5.0
15.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0
15.0,3.0,1.0,0.0,1.0,0.0,1.0,5.0
15.0,3.0,1.0,0.0,2.0,0.0,1.0,5.0
15.0,3.0,1.0,0.0,3.0,0.0,1.0,5.0
15.0,3.0,1.0,0.0,4.0,0.0,1.0,5.0
15.0,3.0,1.0,0.0,5.0,0.0,1.0,5.0
15.0,3.0,1.0,0.0,6.0,0.0,1.0,5.0
15.0,3.0,1.0,0.0,7.0,0.0,1.3,5.0
15.0,3.0,1.0,0.0,8.3,0.0,1.0,5.0
15.0,3.0,1.0,0.0,9.3,0.0,1.0,5.0
15.0,3.0,1.0,0.0,10.3,0.0,1.3,5.0
15.0,3.0,1.0,0.0,11.600000000000001,0.0,1.0,5.0
15.0,3.0,1.0,0.0,12.600000000000001,0.0,1.0,5.0
15.0,3.0,1.0,0.0,13.600000000000001,0.0,1.0,5.0
15.0,3.0,1.0,0.0,14.600000000000001,0.0,1.0,5.0
15.0,3.0,1.0,0.0,15.600000000000001,0.0,1.0,5.0
15.0,3.0,1.0,0.0,16.6,0.0,1.0,5.0
15.0,3.0,1.0,1.0,18.0,0.0,1.0,5.0
15.0,3.0,1.0,1.0,19.0,0.0,1.0,5.0
15.0,3.0,1.0,1.0,20.0,0.0,1.0,5.0
15.0,3.0,1.0,1.0,21.0,0.0,1.0,5.0
15.0,3.0,1.0,1.0,22.0,0.0,1.3,5.0
15.0,3.0,1.0,1.0,23.3,0.0,1.0,5.0
15.0,3.0,1.0,1.0,24.3,0.0,1.0,5.0
15.0,3.0,1.0,1.0,25.3,0.0,1.0,5.0
15.0,3.0,1.0,1.0,26.3,0.0,1.3,5.0
15.0,3.0,1.0,1.0,27.6,0.0,1.0,5.0
15.0,3.0,1.0,1.0,28.6,0.0,1.3,5.0
15.0,3.0,1.0,1.0,29.900000000000002,0.0,1.0,5.0
15.0,3.0,1.0,1.0,30.900000000000002,0.0,1.0,5.0
15.0,3.0,1.0,1.0,31.900000000000002,0.0,1.3,5.0
15.0,3.0,1.0,1.0,33.2,0.0,1.0,5.0
15.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0
15.0,4.0,0.0,0.0,1.0,0.0,1.0,5.0
15.0,4.0,0.0,0.0,2.0,0.0,1.0,5.0
15.0,4.0,0.0,0.0,3.0,0.0,1.0,5.0
15.0,4.0,0.0,0.0,4.0,0.0,1.0,5.0
15.0,4.0,0.0,0.0,5.0,0.0,1.0,5.0
15.0,4.0,0.0,0.0,6.0,0.0,1.3,5.0
15.0,4.0,0.0,0.0,7.3,0.0,1.0,5.0
15.0,4.0,0.0,0.0,8.3,0.0,1.0,5.0
15.0,4.0,0.0,0.0,9.3,0.0,1.0,5.0
15.0,4.0,0.0,0.0,10.3,0.0,1.0,5.0
15.0,4.0,0.0,0.0,11.3,0.0,1.0,5.0
15.0,4.0,0.0,0.0,12.3,0.0,1.0,5.0
15.0,4.0,0.0,0.0,13.3,0.0,1.0,5.0
15.0,4.0,0.0,0.0,14.3,0.0,1.0,5.0
15.0,4.0,0.0,0.0,15.3,0.0,1.3,5.0
15.0,4.0,0.0,0.0,16.6,0.0,1.0,5.0
15.0,4.0,0.0,1.0,18.0,0.0,1.0,5.0
15.0,4.0,0.0,1.0,19.0,0.0,1.0,5.0
15.0,4.0,0.0,1.0,20.0,0.0,1.0,5.0
15.0,4.0,0.0,1.0,21.0,0.0,1.0,5.0
15.0,4.0,0.0,1.0,22.0,0.0,1.0,5.0
15.0,4.0,0.0,1.0,23.0,0.0,1.0,5.0
15.0,4.0,0.0,1.0,24.0,0.0,1.0,5.0
15.0,4.0,0.0,1.0,25.0,0.0,1.0,5.0
15.0,4.0,0.0,1.0,26.0,0.0,1.0,5.0
15.0,4.0,0.0,1.0,27.0,0.0,1.0,5.0
15.0,4.0,0.0,1.0,28.0,0.0,1.0,5.0
15.0,4.0,0.0,1.0,29.0,0.0,1.0,5.0
15.0,4.0,0.0,1.0,30.0,0.0,1.0,5.0
15.0,4.0,0.0,1.0,31.0,0.0,1.0,5.0
15.0,4.0,0.0,1.0,32.0,0.0,1.0,5.0
15.0,4.0,0.0,1.0,33.0,0.0,1.0,5.0
15.0,4.0,0.0,1.0,34.0,0.0,1.0,5.0
15.0,4.0,1.0,0.0,0.0,0.0,1.0,5.0
15.0,4.0,1.0,0.0,1.0,0.0,1.0,5.0
15.0,4.0,1.0,0.0,2.0,0.0,1.0,5.0
15.0,4.0,1.0,0.0,3.0,0.0,1.0,5.0
15.0,4.0,1.0,0.0,4.0,0.0,1.0,5.0
15.0,4.0,1.0,0.0,5.0,0.0,1.0,5.0
15.0,4.0,1.0,0.0,6.0,0.0,1.0,5.0
15.0,4.0,1.0,0.0,7.0,0.0,1.0,5.0
15.0,4.0,1.0,0.0,8.0,0.0,1.0,5.0
15.0,4.0,1.0,0.0,9.0,0.0,1.0,5.0
15.0,4.0,1.0,0.0,10.0,0.0,1.0,5.0
15.0,4.0,1.0,0.0,11.0,0.0,1.0,5.0
15.0,4.0,1.0,0.0,12.0,0.0,1.0,5.0
15.0,4.0,1.0,0.0,13.0,0.0,1.3,5.0
15.0,4.0,1.0,0.0,14.3,0.0,1.0,5.0
15.0,4.0,1.0,0.0,15.3,0.0,1.0,5.0
15.0,4.0,1.0,0.0,16.3,0.0,1.0,5.0
15.0,4.0,1.0,1.0,18.0,0.0,1.0,5.0
15.0,4.0,1.0,1.0,19.0,0.0,1.0,5.0
15.0,4.0,1.0,1.0,20.0,0.0,1.0,5.0
15.0,4.0,1.0,1.0,21.0,0.0,1.0,5.0
15.0,4.0,1.0,1.0,22.0,0.0,1.0,5.0
15.0,4.0,1.0,1.0,23.0,0.0,1.0,5.0
15.0,4.0,1.0,1.0,24.0,0.0,1.0,5.0
15.0,4.0,1.0,1.0,25.0,0.0,1.0,5.0
15.0,4.0,1.0,1.0,26.0,0.0,1.0,5.0
15.0,4.0,1.0,1.0,27.0,0.0,1.0,5.0
15.0,4.0,1.0,1.0,28.0,0.0,1.0,5.0
15.0,4.0,1.0,1.0,29.0,0.0,1.0,5.0
15.0,4.0,1.0,1.0,30.0,0.0,1.0,5.0
15.0,4.0,1.0,1.0,31.0,0.0,1.0,5.0
15.0,4.0,1.0,1.0,32.0,0.0,1.3,5.0
15.0,4.0,1.0,1.0,33.3,0.0,1.0,5.0
15.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0
15.0,5.0,0.0,0.0,1.0,0.0,1.0,5.0
15.0,5.0,0.0,0.0,2.0,0.0,1.0,5.0
15.0,5.0,0.0,0.0,3.0,0.0,1.3,5.0
15.0,5.0,0.0,0.0,4.3,0.0,1.0,5.0
15.0,5.0,0.0,0.0,5.3,0.0,1.0,5.0
15.0,5.0,0.0,0.0,6.3,0.0,1.0,5.0
